,l2wgrid1,l2wgrid2,l2wgrid3,l2wgrid4,l2wgrid5,l2wgrid6,l2wgrid7,l2wgrid8,l2wgrid9,l2wgrid10,l2wgrid11,l2wgrid12,l2wgrid13,l2wgrid14,l2wgrid15,l2wgrid16,l2wgrid17,l2wgrid18,l2wgrid19,l2wgrid20,l2wgrid21,l2wgrid22,l2wgrid23,l2wgrid24,l2wgrid25,l2wgrid26,l2wgrid27,l2wgrid28,l2wgrid29,l2wgrid30,l2wgrid31,l2wgrid32,l2wgrid33,l2wgrid34,l2wgrid35,l2wgrid36,l2wgrid37,l2wgrid38,l2wgrid39,l2wgrid40,l2wgrid41,l2wgrid42,l2wgrid43,l2wgrid44,l2wgrid45,l2wgrid46,l2wgrid47,l2wgrid48,l2wgrid49,l2wgrid50,l1wgrid1,l1wgrid2,l1wgrid3,l1wgrid4,l1wgrid5,l1wgrid6,l1wgrid7,l1wgrid8,l1wgrid9,l1wgrid10,l1wgrid11,l1wgrid12,l1wgrid13,l1wgrid14,l1wgrid15,l1wgrid16,l1wgrid17,l1wgrid18,l1wgrid19,l1wgrid20,l1wgrid21,l1wgrid22,l1wgrid23,l1wgrid24,l1wgrid25,l1wgrid26,l1wgrid27,l1wgrid28,l1wgrid29,l1wgrid30,l1wgrid31,l1wgrid32,l1wgrid33,l1wgrid34,l1wgrid35,l1wgrid36,l1wgrid37,l1wgrid38,l1wgrid39,l1wgrid40,l1wgrid41,l1wgrid42,l1wgrid43,l1wgrid44,l1wgrid45,l1wgrid46,l1wgrid47,l1wgrid48,l1wgrid49,l1wgrid50,l1dgrid1,l1dgrid2,l1dgrid3,l1dgrid4,l1dgrid5,l1dgrid6,l1dgrid7,l1dgrid8,l1dgrid9,l1dgrid10,l1dgrid11,l1dgrid12,l1dgrid13,l1dgrid14,l1dgrid15,l1dgrid16,l1dgrid17,l1dgrid18,l1dgrid19,l1dgrid20,l1dgrid21,l1dgrid22,l1dgrid23,l1dgrid24,l1dgrid25,l1dgrid26,l1dgrid27,l1dgrid28,l1dgrid29,l1dgrid30,l1dgrid31,l1dgrid32,l1dgrid33,l1dgrid34,l1dgrid35,l1dgrid36,l1dgrid37,l1dgrid38,l1dgrid39,l1dgrid40,l1dgrid41,l1dgrid42,l1dgrid43,l1dgrid44,l1dgrid45,l1dgrid46,l1dgrid47,l1dgrid48,l1dgrid49,l1dgrid50,weekday01,weekday02,weekday03,weekday04,weekday05,weekday06,weekday07,hour
0,0,0,0,1,2,0,1,1,3,1,1,1,3,5,6,0,4,4,0,4,4,1,2,0,1,0,5,3,5,3,1,4,4,7,4,1,4,1,9,1,0,6,5,4,1,2,2,5,4,3,0,0,0,2,1,2,1,1,1,1,2,1,4,3,5,2,4,3,0,7,6,1,1,0,2,0,3,4,5,0,4,2,3,2,0,1,2,0,6,0,1,3,3,2,1,1,5,1,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,2,1,1,1,2,2,3,1,1,2,0,0,1,0,1,1,2,1,1,1,1,0,0,0,1,1,2,0,2,1,1,3,0,4,2,1,0,0,5,2,2,1,0,0,0,1,1,2,0,1,2,2,2,2,2,0,0,2,2,3,0,2,3,1,3,0,1,0,2,2,4,0,0,0,2,2,2,2,4,1,2,0,1,6,1,1,0,0,4,3,3,1,0.22629889845848083,-0.0,-0.0,0.2734763026237488,0.8998773097991943,2.6469101905822754,0.07848826050758362,0.15714222192764282,2.7385151386260986,0.6397519111633301,0.4889250099658966,0.668886661529541,2.0851879119873047,2.29561185836792,2.708132743835449,2.7244064807891846,1.9829661846160889,2.059894561767578,-0.0,1.1221750974655151,1.0586700439453125,2.0315778255462646,0.9261932373046875,0.9174811840057373,1.683645486831665,0.23578965663909912,1.7755017280578613,1.5887391567230225,1.7606735229492188,1.6378852128982544,0.8887200951576233,0.273967981338501,1.9864541292190552,2.312551498413086,2.3112282752990723,1.7961052656173706,2.834000825881958,0.5388874411582947,2.5002574920654297,0.5738468170166016,0.8546633124351501,4.0462446212768555,2.0060219764709473,0.9704620242118835,0.47541719675064087,0.9220198392868042,2.863508701324463,2.33752703666687,2.336409568786621,0.9799659848213196,1,0,0,0,0,0,0,1
2,0,0,0,3,0,3,0,0,2,0,0,1,2,3,5,3,2,2,0,3,1,1,1,0,1,0,4,2,2,2,0,3,1,3,4,0,2,0,6,1,0,1,0,3,0,0,0,1,2,2,0,0,0,0,0,1,0,1,4,1,1,1,1,0,2,1,1,1,1,4,2,0,2,0,1,0,2,1,0,0,0,0,1,2,1,1,3,0,5,1,0,5,2,0,0,0,2,1,1,0,0.24054402112960815,-0.0,0.0746021643280983,-0.0,0.7173380255699158,2.0009613037109375,0.2795610725879669,-0.0,1.2892329692840576,1.161726713180542,1.0527974367141724,1.2291717529296875,2.15488600730896,2.1843676567077637,2.7328896522521973,1.8544347286224365,0.6646392941474915,1.0330133438110352,0.25395286083221436,3.933192253112793,2.9754199981689453,1.2400200366973877,1.2039119005203247,0.6416193842887878,1.055860161781311,-0.0,3.7730839252471924,1.1260813474655151,1.3190901279449463,2.005573272705078,0.2800065279006958,0.32979869842529297,0.5735268592834473,1.5594096183776855,2.127453565597534,1.7257012128829956,1.2278482913970947,0.1231602132320404,5.025213718414307,0.3683226704597473,0.9327484369277954,2.8869388103485107,1.898181438446045,2.7274723052978516,0.31263846158981323,0.6187296509742737,1.5053900480270386,1.7125611305236816,1.65989351272583,3.5167579650878906,1,0,0,0,0,0,0,2
3,1,0,1,0,0,2,0,0,1,1,0,0,1,5,6,2,1,1,1,1,1,1,1,0,2,0,4,1,0,1,0,2,0,1,1,0,1,1,5,2,0,2,2,5,0,3,1,1,1,5,1,0,1,0,2,0,0,1,2,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,2,1,0,0,0,1,0,1,1,0,2,0,1,1,0,4,3,1,1,1,1,3,2,1,0.2392473816871643,-0.0,-0.0,0.35116127133369446,0.816175103187561,1.6899480819702148,0.2796773612499237,0.09403405338525772,1.947965145111084,0.8997650146484375,0.8332346081733704,0.8659002184867859,1.7306407690048218,1.7833374738693237,2.4192843437194824,1.6973556280136108,1.6868674755096436,2.005021572113037,0.3617250919342041,3.5214905738830566,2.8826451301574707,1.0296117067337036,1.0404082536697388,0.8213368654251099,1.0360150337219238,0.08190082013607025,2.097290277481079,1.0271737575531006,1.0852147340774536,1.2756712436676025,0.6878277063369751,0.40130242705345154,1.4756237268447876,1.5386079549789429,1.7781606912612915,1.7542781829833984,1.1420739889144897,0.5642589926719666,4.651699542999268,0.25857406854629517,0.8488316535949707,2.7841079235076904,2.0101358890533447,1.3690459728240967,0.28460875153541565,0.5779967308044434,2.2410430908203125,1.4128003120422363,1.2963234186172485,1.857717514038086,1,0,0,0,0,0,0,3
4,0,0,0,0,1,1,0,0,3,1,1,2,3,5,5,1,0,0,0,3,2,2,1,1,2,0,0,3,3,3,2,1,0,0,1,2,1,0,6,0,1,4,3,1,2,2,3,3,4,2,0,0,0,0,1,1,0,0,1,1,1,1,4,1,1,1,4,3,1,1,0,1,1,1,1,1,3,3,1,1,0,0,3,3,2,1,0,1,3,1,0,2,2,2,0,0,0,1,1,5,0.008750587701797485,-0.0,-0.0,-0.0,0.5805133581161499,1.055738925933838,0.14870811998844147,-0.0,3.3235583305358887,0.03765761852264404,0.014491736888885498,0.14855831861495972,0.8425915837287903,1.3810369968414307,1.8764311075210571,0.9124755859375,1.4812073707580566,1.847000241279602,0.3928852081298828,2.873612642288208,2.3186793327331543,1.1859592199325562,1.0356130599975586,0.8165963292121887,2.1284048557281494,0.13217869400978088,1.7799814939498901,0.18819725513458252,0.5019296407699585,1.6018074750900269,0.33515238761901855,0.15372607111930847,1.393120288848877,1.99537193775177,2.470001220703125,1.446036696434021,1.9704432487487793,0.5973570942878723,3.577579975128174,0.9118627309799194,0.968829870223999,3.787365436553955,2.681523323059082,2.168200731277466,0.5271116495132446,1.1311509609222412,2.2570013999938965,2.372976541519165,2.186793327331543,2.661090612411499,1,0,0,0,0,0,0,4
5,0,0,1,0,1,3,1,1,2,2,1,1,3,1,3,3,0,1,1,5,4,2,6,2,1,0,1,3,1,0,1,2,0,1,1,3,1,0,8,1,3,5,3,3,0,0,4,2,2,3,0,0,0,0,0,1,1,0,2,2,2,2,2,2,0,1,0,0,0,2,2,0,1,0,3,0,2,1,1,1,1,0,0,3,2,1,2,0,4,0,1,2,1,4,0,2,0,1,2,4,0.28959962725639343,-0.0,-0.0,0.23332905769348145,0.6862067580223083,1.5486677885055542,0.113859161734581,0.37912672758102417,2.8911991119384766,1.2281993627548218,0.9054820537567139,1.0944240093231201,2.3277411460876465,0.7914531230926514,1.2925515174865723,1.3865418434143066,1.3397800922393799,1.792236328125,0.2136884331703186,4.801178932189941,4.555142402648926,1.5069248676300049,1.288705587387085,1.8746678829193115,2.4216508865356445,0.2458873689174652,3.3754959106445312,0.9060033559799194,1.2138937711715698,1.314698576927185,0.24798452854156494,-0.0,1.2196894884109497,1.9873549938201904,2.861443281173706,1.7259334325790405,2.3929479122161865,0.7508358359336853,7.308999538421631,0.1413772702217102,1.6062426567077637,3.6163787841796875,2.40372896194458,2.5555782318115234,-0.0,0.3762924373149872,1.469469666481018,1.088098406791687,1.020851492881775,3.2925825119018555,1,0,0,0,0,0,0,5
6,0,0,0,1,1,1,0,0,4,0,0,0,0,1,3,1,1,2,0,6,3,0,4,2,2,0,2,0,1,1,0,1,2,2,3,1,4,1,7,1,1,5,4,3,2,2,1,6,5,3,0,0,0,0,0,2,0,0,5,0,0,0,1,1,2,2,3,3,0,2,3,0,2,2,2,1,2,1,1,2,1,0,3,2,3,3,3,1,6,1,2,2,1,1,0,3,2,3,4,3,0.05664318799972534,-0.0,-0.0,0.17881640791893005,0.7870162725448608,2.421830654144287,0.09798146784305573,-0.0,2.848680019378662,1.2121591567993164,1.107517123222351,1.4071202278137207,2.8298003673553467,1.5059019327163696,2.123304843902588,2.191558837890625,1.6805789470672607,1.8087314367294312,0.15688322484493256,5.067925453186035,4.692401885986328,1.1031763553619385,1.339869499206543,1.4943472146987915,2.0171656608581543,0.1588594913482666,3.6557722091674805,1.4135555028915405,1.6322674751281738,2.472795248031616,0.4871565103530884,0.39810246229171753,1.4185752868652344,3.2145137786865234,4.119876861572266,1.9893611669540405,1.6319602727890015,0.31434881687164307,7.454531669616699,0.014040768146514893,1.8466627597808838,2.5844290256500244,2.2762417793273926,3.392076015472412,-0.0,0.4023192524909973,1.410670280456543,0.909794807434082,0.8943554162979126,3.758523464202881,1,0,0,0,0,0,0,6
7,0,0,0,1,0,2,0,0,4,1,1,1,2,4,7,1,1,0,0,4,4,0,0,1,4,0,3,4,2,3,1,0,2,1,1,1,5,1,4,2,1,7,5,6,0,1,4,5,5,6,2,0,0,0,1,1,0,0,3,2,2,3,4,2,5,1,1,2,0,3,2,1,2,1,2,3,3,4,3,4,0,0,2,2,2,3,0,0,6,1,1,1,1,2,0,0,0,1,1,2,0.05875837802886963,-0.0,-0.0,0.284956157207489,0.5757314562797546,1.3199328184127808,0.19306805729866028,0.2029830813407898,2.6865458488464355,0.9121367931365967,0.9006736874580383,1.0528498888015747,2.1894664764404297,1.8538373708724976,2.370396375656128,1.2178946733474731,2.060485601425171,2.2437870502471924,0.3782539367675781,2.2460379600524902,1.473402976989746,0.8006324172019958,0.9635870456695557,0.5372788906097412,1.6631066799163818,0.04179975390434265,1.428905963897705,1.690593957901001,1.7961658239364624,1.7444376945495605,0.593486487865448,0.47712191939353943,1.7823295593261719,2.1563684940338135,2.8915905952453613,1.4111274480819702,1.9261040687561035,0.6114916801452637,3.513566493988037,0.44234031438827515,0.7672820091247559,3.0596864223480225,1.879076600074768,1.8111135959625244,0.2695941627025604,0.6003584265708923,1.5551979541778564,1.7044365406036377,1.8139041662216187,2.6815733909606934,1,0,0,0,0,0,0,7
8,2,0,0,0,4,4,0,0,1,2,2,2,6,1,1,4,2,2,1,5,5,3,2,2,0,0,5,7,5,4,2,0,2,4,5,3,4,1,5,3,1,10,8,5,2,1,7,3,4,5,1,0,1,0,0,1,0,0,3,3,2,3,6,3,9,1,2,2,2,3,5,2,0,1,2,2,2,5,5,3,1,1,2,4,8,1,5,1,9,3,4,10,10,3,3,2,7,5,4,2,0.5199626684188843,-0.0,-0.0,-0.0,0.8724391460418701,2.3443734645843506,0.2475084513425827,-0.0,2.5282270908355713,1.4766924381256104,1.4834961891174316,1.5164084434509277,2.9093387126922607,3.260009765625,4.245383262634277,2.4199092388153076,2.382591724395752,2.9348883628845215,0.2812049984931946,3.690634250640869,3.223985195159912,1.7838115692138672,1.1702028512954712,1.1273021697998047,1.7940707206726074,0.13355131447315216,3.2541489601135254,2.1661295890808105,1.941664457321167,2.931786060333252,0.9509758949279785,0.7275680303573608,2.463717460632324,3.1180579662323,3.4738540649414062,2.251838207244873,2.829622268676758,0.546954870223999,6.320687294006348,0.7868361473083496,1.5504376888275146,6.590564727783203,4.844533920288086,2.2590491771698,0.8774110078811646,0.924532949924469,3.8923773765563965,3.0192737579345703,2.812521457672119,2.1962108612060547,1,0,0,0,0,0,0,8
9,0,0,0,1,2,3,0,0,4,4,4,4,6,4,5,3,5,6,0,2,4,0,1,0,3,0,4,6,5,4,1,2,5,5,7,3,4,1,10,2,2,7,7,7,1,2,5,6,5,7,1,0,0,0,2,1,0,1,2,1,1,1,4,1,2,1,2,3,1,4,6,1,5,3,1,2,4,4,4,2,2,2,3,1,5,1,8,2,11,1,2,11,7,3,0,2,6,6,6,2,0.7557468414306641,-0.0,0.1538928747177124,-0.0,0.8223575949668884,1.9356199502944946,-0.0,0.16252470016479492,2.2726240158081055,1.795060157775879,1.6205029487609863,1.8363909721374512,4.167990684509277,2.5770063400268555,4.497294902801514,2.0826666355133057,1.9515877962112427,2.214768886566162,0.6333574056625366,3.362806797027588,4.035519123077393,1.5035579204559326,0.689547061920166,1.0891104936599731,1.52866792678833,0.7009044885635376,2.5131726264953613,3.3114686012268066,2.966028928756714,3.068981170654297,1.3452508449554443,0.6802810430526733,2.094419479370117,3.437037706375122,4.546830177307129,2.1104793548583984,3.899043560028076,0.772018551826477,6.945622444152832,1.4503793716430664,2.040106773376465,7.731067657470703,6.441455841064453,2.948251724243164,1.4159349203109741,1.8249200582504272,4.49983549118042,3.691800594329834,3.483780860900879,2.1604905128479004,1,0,0,0,0,0,0,9
